Week,Compulsive Use,On MOUD,Withdrawal,Fatal Overdose,Death,Cumulative_Overdose_Deaths,Alive,Scenario
28,223631.28317191676,34598.87502862174,39467.54951371043,28.129787501773322,2274.120263383922,908.6376513942544,297697.7077142489,Intervention
29,221415.55969504995,34783.08706374332,41421.80157132383,27.851483489445695,2351.655269494473,936.4891348837001,297620.4483301171,Intervention
30,219230.7944620141,34934.21602723873,43378.47590953833,27.577085130780745,2428.8888592627754,964.0662200144809,297543.48639879114,Intervention
31,217076.57799528103,35054.533698224106,45335.70617942936,27.306539722772975,2505.825134288971,991.3727597372539,297466.8178729345,Intervention
32,214952.50469122027,35146.17301909481,47291.761049578454,27.039795127800307,2582.4681408601095,1018.4125548650542,297390.4387598935,Intervention
33,212858.17288214143,35211.13636883687,49245.03587012704,26.776799776705097,2658.821870542886,1045.1893546417593,297314.3451211053,Intervention
34,210793.18489050178,35251.30334625893,51194.04483474183,26.5175026711704,2734.890260779661,1071.7068573129297,297238.5330715026,Intervention
35,208757.14707580197,35268.438092133314,53137.413610980664,26.261853385440645,2810.677195487017,1097.9687106983704,297162.99877891596,Intervention
36,206749.66987466114,35264.1961775212,55073.87241129368,26.00980206743282,2886.186505656163,1123.9785127658033,297087.738463476,Intervention
37,204770.3678345325,35240.13108394361,57002.249478537255,25.761299439281565,2961.421969954543,1149.739812205085,297012.74839701335,Intervention
38,202818.85964149248,35197.70029954294,58921.46496142369,25.516296797358724,3036.3873153280556,1175.2561090024437,296938.0249024591,Intervention
39,200894.7681425102,35138.27105395162,60830.52515678363,25.27474601180548,3111.086217603326,1200.5308550142493,296863.5643532454,Intervention
40,198997.7203625791,35063.125713241585,62728.51709688639,25.03659952561291,3185.5223020895196,1225.5674545398622,296789.3631727071,Intervention
41,197127.34751706896,34973.46685506416,64614.603461350496,24.801810353284523,3259.699144179221,1250.3692648931467,296715.4178334836,Intervention
42,195283.28501963546,34870.42204290077,66488.01779438791,24.570332079112116,3333.620269947938,1274.9395969722589,296641.72485692415,Intervention
43,193465.17248600215,34755.048317226225,68348.06000926477,24.342118855094753,3407.289156751821,1299.2817158273535,296568.2808124932,Intervention
44,191672.65373391213,34628.33642033358,70194.09216293372,24.117125398528195,3480.7092338232223,1323.3988412258818,296495.0823171794,Intervention
45,189905.3767795269,34491.21477057901,72025.53448480144,23.895306989291043,3553.883882863754,1347.2941482151728,296422.12603490736,Intervention
46,188162.99383053373,34344.55320087352,73841.86164454394,23.676619466851733,3626.816438634511,1370.9707676820244,296349.4086759512,Intervention
47,186445.16127620588,34189.1664753712,75642.59924477561,23.4610192270192,3699.5101895431803,1394.4317869090437,296276.9269963527,Intervention
48,184751.5396746461,34025.817597479225,77427.32052521722,23.248463218458653,3771.9683782277543,1417.6802501275024,296204.67779734253,Intervention
49,183081.79373742756,33855.22092153808,79195.64326579944,23.03890893899236,3844.194202136608,1440.7191590664947,296132.6579247651,Intervention
50,181435.5923118351,33678.04507979083,80947.22687688145,22.832314431704248,3916.190814104708,1463.551473498199,296060.86426850734,Intervention
51,179812.60836089536,33494.915735572686,82681.76966546422,22.628638280865808,3987.9613229257507,1486.1801117790646,295989.2937619323,Intervention
52,178212.51894137386,33306.41817300594,84399.00626693627,22.42783960769976,4059.508793920038,1508.6079513867644,295917.9433813161,Intervention
53,176635.00517990426,33113.09973287689,86098.7052325091,22.229878065996857,4130.83624949792,1530.8378294527613,295846.8101452903,Intervention
54,175079.75224740684,32915.47210379933,87780.66676308226,22.03471383760008,4201.946669718653,1552.8725432903614,295775.8911142884,Intervention
55,173546.44933194085,32714.013477230535,89444.72058082621,21.842307627769895,4272.842992844523,1574.7148509181313,295705.1833899976,Intervention
56,172034.78961012824,32509.170574399228,91090.72393028716,21.65262066044286,4343.528115890126,1596.3674715785742,295634.6841148146,Intervention
57,170544.4702172762,32301.3605527282,92718.55970130325,21.465614673395567,4414.004895166674,1617.8330862519697,295564.3904713077,Intervention
58,169075.19221631836,32090.97279888599,94328.13466647813,21.281251913324752,4484.276146821236,1639.1143381652944,295494.2996816825,Intervention
59,167626.66056568688,31878.370615179887,95919.37782638757,21.099495130853835,4554.344647370828,1660.2138332961483,295424.40900725435,Intervention
60,166198.58408621978,31663.892805605698,97492.23885609918,20.920307575475533,4624.213134231271,1681.134140871624,295354.71574792464,Intervention
61,164790.6754272022,31447.855167496054,99046.68664696527,20.743652990439355,4693.884306240744,1701.8777938620633,295285.2172416635,Intervention
62,163402.65103163247,31230.551894357683,100582.70793800692,20.56949560759241,4763.360824177978,1722.4472894696557,295215.91086399707,Intervention
63,162034.23110079934,31012.25689515738,102100.30603154395,20.397800142181215,4832.645311275052,1742.845089611837,295146.79402750067,Intervention
64,160685.1395582498,30793.225035005315,103599.49958804222,20.228531787621748,4901.740353724726,1763.0736213994587,295077.8641812973,Intervention
65,159355.10401322253,30573.693301891606,105080.32149544751,20.06165621024452,4970.648501182302,1783.1352776097033,295009.11881056166,Intervention
66,158043.85572361667,30353.881903856676,106542.81780855585,19.897139544020852,5039.372267261967,1803.032417153724,294940.5554360292,Intervention
67,156751.12955856096,30133.99530071682,107987.04675423386,19.734948385276237,5107.91413002761,1822.7673655390004,294872.17161351163,Intervention
68,155476.66396064387,29914.223174222552,109413.0777985507,19.575049787396207,5176.276532478096,1842.3424153263966,294803.9649334171,Intervention
69,154220.2009078613,29694.741340298042,110820.9907721169,19.41741125552968,5244.4618830269865,1861.7598265819263,294735.93302027625,Intervention
70,152981.4858753347,29475.712606793968,112210.87505014494,19.26200074129447,5312.472555976704,1881.0218273232208,294668.07353227364,Intervention
71,151760.2677968488,29257.287579983236,113582.82878395315,19.10878663748936,5380.310891987142,1900.1306139607102,294600.38416078524,Intervention
72,150556.29902625375,29039.605422837823,114936.95818082892,18.957737772816582,5447.979198538734,1919.0883517335267,294532.8626299205,Intervention
73,149369.33529877535,28822.79456794534,116273.37682935013,18.808823406618572,5515.479750389981,1937.8971751401452,294465.50669607084,Intervention
74,148199.13569227216,28606.973387754773,117592.20506743605,18.662013223632304,5582.814790029462,1956.5591883637776,294398.314147463,Intervention
75,147045.46258847596,28392.250824681694,118893.5693905605,18.51727732876444,5649.986528122337,1975.0764656925421,294331.2828037181,Intervention
76,145908.08163425006,28178.726983453595,120177.60189771281,18.374586241890174,5716.997143951376,1993.4510519344324,294264.4105154165,Intervention
77,144786.76170289662,27966.493687935083,121444.43977283518,18.233910892678445,5783.848785852519,2011.684962827111,294197.69516366685,Intervention
78,143681.27485554217,27755.635004540192,122694.22479960008,18.095222615446005,5850.543571645023,2029.780185442557,294131.13465968246,Intervention
79,142591.39630262856,27546.227734214328,123927.10290751803,17.95849314404257,5917.083589056197,2047.7386785865997,294064.72694436094,Intervention
