Week,Compulsive Use,On MOUD,Withdrawal,Fatal Overdose,Death,Cumulative_Overdose_Deaths,Alive,Scenario
159,193360.5995681898,9050.222827905858,85033.23566894054,24.356474211908978,12532.444142436541,4750.643347092426,287444.0580650362,Status Quo
160,192976.0963833147,9030.857846902885,85364.9637082089,24.30824743836602,12604.635630665647,4774.951594530792,287371.9179384265,Status Quo
161,192594.0017254823,9011.612532166253,85694.2254833244,24.260322597332564,12676.764869118924,4799.211917128125,287299.8397409729,Status Quo
162,192214.29922642495,8992.486231135661,86021.03769084037,24.212697636832416,12748.83218424976,4823.424614764957,287227.823148401,Status Quo
163,191836.97262929592,8973.478286155014,86345.41692317322,24.165370518862925,12820.837900308608,4847.58998528382,287155.86783862417,Status Quo
164,191462.0057879187,8954.588035072813,86667.37966873765,24.118339219300584,12892.782339357986,4871.708324503121,287083.9734917291,Status Quo
165,191089.3826660413,8935.814811804923,86986.94231211492,24.071601727807117,12964.665821287366,4895.779926230928,287012.1397899611,Status Quo
166,190719.08733659468,8917.157946861971,87304.12113425221,24.025156047736296,13036.488663827984,4919.8050822786645,286940.36641770886,Status Quo
167,190351.1039809562,8898.616767843481,87618.93231269062,23.979000196041195,13108.251182567523,4943.784082474705,286868.6530614903,Status Quo
168,189985.4168882173,8880.190599900723,87931.39192181997,23.93313220318218,13179.953690964712,4967.717214677888,286796.999409938,Status Quo
169,189622.01045445589,8861.878766170157,88241.51593315862,23.8875501130354,13251.59650036383,4991.604764790923,286725.40515378467,Status Quo
170,189260.86918201335,8843.680588179217,88549.32021565641,23.842251982801862,13323.179920009099,5015.4470167737245,286653.86998584896,Status Quo
171,188901.97767877593,8825.595386226098,88854.82053601921,23.797235882917185,13394.704257058987,5039.244252656642,286582.39360102126,Status Quo
172,188545.32065746095,8807.62247973509,89158.03255905336,23.75249989696181,13466.169816600413,5062.996752553604,286510.9756962494,Status Quo
173,188190.88293490725,8789.761187588929,89458.97184802878,23.708042121571907,13537.576901662858,5086.704794675175,286439.61597052496,Status Quo
174,187838.6494313704,8772.010828439537,89757.65386505918,23.663860666350782,13608.925813232374,5110.368655341526,286368.3141248691,Status Quo
175,187488.6051698222,8754.370720998446,90054.09397149817,23.619953653780904,13680.216850265506,5133.988608995307,286297.0698623188,Status Quo
176,187140.735275255,8736.840184308116,90348.30742835008,23.576319219136476,13751.45030970311,5157.564928214443,286225.8828879132,Status Quo
177,186795.0249739901,8719.41853799531,90640.30939669436,23.532955510396636,13822.626486484087,5181.097883724839,286154.7529086798,Status Quo
178,186451.459592991,8702.105102507589,90930.11493812245,23.48986068815917,13893.745673559019,5204.587744412998,286083.67963362107,Status Quo
179,186110.02455918086,8684.899199333922,91217.73901518619,23.447032925554787,13964.808161903711,5228.034777338553,286012.66277370095,Status Quo
180,185770.7053987645,8667.800151210424,91503.19649185672,23.404470408162027,14035.814240532643,5251.4392477467145,285941.7020418316,Status Quo
181,185433.4877365547,8650.807282312033,91786.50213399316,23.362171333922674,14106.764196512331,5274.801419080637,285870.7971528599,Status Quo
182,185098.35729530314,8633.919918431053,92067.67060982005,23.320133913057727,14177.658314974598,5298.121552993694,285799.9478235543,Status Quo
183,184765.2998950355,8617.137387143293,92346.71649041302,23.278356367983964,14248.49687912975,5321.3999093616785,285729.15377259185,Status Quo
184,184434.3014523911,8600.459017962585,92623.65425019166,23.23683693323104,14319.28017027967,5344.636746294909,285658.41472054535,Status Quo
185,184105.34797996658,8583.884142484363,92898.49826741916,23.195573855359136,14390.008467830812,5367.832320150268,285587.7303898701,Status Quo
186,183778.4255856643,8567.412094518977,93171.26282470796,23.15456539287714,14460.682049307125,5390.986885543145,285517.10050489125,Status Quo
187,183453.5204720448,8551.04221021535,93441.96210953084,23.113809816161403,14531.301190362865,5414.100695359307,285446.524791791,Status Quo
188,183130.61893568357,8534.773828175572,93710.6102147369,23.073305407375035,14601.866164795345,5437.174000766682,285376.002978596,Status Quo
189,182809.7073665321,8518.606289560976,93977.22113907179,23.033050460387706,14672.377244557574,5460.20705122707,285305.53479516483,Status Quo
190,182490.77224728325,8502.538938190206,94241.80878770194,22.993043280696018,14742.834699770829,5483.200094507766,285235.1199731754,Status Quo
191,182173.80015274073,8486.571120629786,94504.38697274208,22.9532821853444,14813.238798737131,5506.153376693111,285164.7582461126,Status Quo
192,181858.77774919273,8470.702186277607,94764.96941378569,22.91376550284653,14883.589807951645,5529.067142195957,285094.449349256,Status Quo
193,181545.6917937899,8454.931487439813,95023.569738438,22.87449157310729,14953.887992114982,5551.9416337690645,285024.19301966776,Status Quo
194,181234.52913392737,8439.258379401434,95280.20148285125,22.835458747345214,15024.133614145432,5574.7770925164095,284953.98899618007,Status Quo
195,180925.2767066308,8423.6822204912,95534.87809226158,22.79666538801553,15094.326935191104,5597.573757904425,284883.83701938356,Status Quo
196,180617.92153794682,8408.20237214086,95787.61292152756,22.758109868733627,15164.468214641987,5620.331867773159,284813.7368316152,Status Quo
197,180312.45074233724,8392.81819893934,96038.41923566967,22.71979057419911,15234.557710141928,5643.051658347357,284743.68817694625,Status Quo
198,180008.85152207752,8377.529068682083,96287.31021041085,22.68170590012033,15304.595677600526,5665.733364247478,284673.6908011704,Status Quo
199,179707.11116665907,8362.33435241585,96534.29893271752,22.643854253139448,15374.582371204957,5688.377218500617,284603.74445179245,Status Quo
200,179407.2170521959,8347.233424479262,96779.39840134085,22.606234050757944,15444.5180434317,5710.983452551375,284533.848878016,Status Quo
201,179109.15664083484,8332.225662539344,97022.62152735831,22.56884372126272,15514.402945058198,5733.552296272638,284464.0038307325,Status Quo
202,178812.91748017014,8317.310447624333,97263.98113471492,22.53168170365263,15584.23732517443,5756.083977976291,284394.2090625094,Status Quo
203,178518.4872026616,8302.487164152972,97503.48996076423,22.494746447565532,15654.021431194411,5778.578724423856,284324.4643275788,Status Quo
204,178225.85352505703,8287.7551999605,97741.1606568087,22.458036413205836,15723.755508867609,5801.0367608370625,284254.7693818262,Status Quo
205,177935.00424781814,8273.113946321571,97977.00578863942,22.42155007127255,15793.43980229029,5823.458310908335,284185.1239827791,Status Quo
206,177645.92725455077,8258.56279797026,98211.03783707488,22.385285902887745,15863.074553916778,5845.843596811223,284115.5278895959,Status Quo
207,177358.6105114386,8244.101153117375,98443.26919849872,22.349242399525632,15932.660004570645,5868.192839210748,284045.9808630547,Status Quo
208,177073.04206668102,8229.7284134652109,98673.7121853962,22.313418062941995,16002.196393455819,5890.506257273691,283976.4826655424,Status Quo
209,176789.21004993428,8215.443984219935,98902.3790268895,22.27781140510418,16071.683958167623,5912.784068678795,283907.0330610437,Status Quo
210,176507.10267175702,8201.24727410174,99129.28186927129,22.242420948121502,16141.122934703732,5935.026489626916,283837.63181513007,Status Quo
211,176226.7082230591,8187.137695352904,99354.432776537,22.20724522417617,16210.51355747506,5957.233734851093,283768.278694949,Status Quo
212,175948.01507455442,8173.114663743914,99577.84373091516,22.17228277545468,16279.856059316575,5979.4060176265475,283698.97346921347,Status Quo
213,175671.01167621734,8159.177598577741,99799.52663339608,22.137532154079597,16349.150671498028,6001.5435497806275,283629.71590819117,Status Quo
